Risk,Zip
Risk 1 (High),60647
Risk 3 (Low),60624
Risk 3 (Low),60608
Risk 1 (High),60634
Risk 1 (High),60707
Risk 1 (High),60628
Risk 1 (High),60651
Risk 1 (High),60614
Risk 2 (Medium),60640
Risk 3 (Low),60651
Risk 2 (Medium),60612
Risk 1 (High),60629
Risk 2 (Medium),60646
Risk 1 (High),60639
Risk 1 (High),60625
Risk 2 (Medium),60636
Risk 1 (High),60634
Risk 1 (High),60640
Risk 2 (Medium),60605
Risk 1 (High),60641
Risk 1 (High),60626
Risk 1 (High),60640
Risk 1 (High),60610
Risk 3 (Low),60657
Risk 1 (High),60657
Risk 1 (High),60640
Risk 2 (Medium),60610
Risk 3 (Low),60646
Risk 2 (Medium),60610
Risk 1 (High),60661
Risk 3 (Low),60603
Risk 2 (Medium),60622
Risk 2 (Medium),60640
Risk 1 (High),60634
Risk 1 (High),60657
Risk 1 (High),60657
Risk 1 (High),60657
Risk 1 (High),60610
Risk 1 (High),60639
Risk 1 (High),60625
Risk 1 (High),60657
Risk 1 (High),60647
Risk 1 (High),60657
Risk 1 (High),60657
Risk 1 (High),60640
Risk 1 (High),60625
Risk 3 (Low),60651
Risk 1 (High),60657
Risk 1 (High),60628
Risk 1 (High),60628
Risk 1 (High),60610
Risk 1 (High),60631
Risk 2 (Medium),60659
Risk 1 (High),60640
Risk 1 (High),60625
Risk 1 (High),60607
Risk 1 (High),60625
Risk 2 (Medium),60612
Risk 1 (High),60629
Risk 1 (High),60618
Risk 1 (High),60657
Risk 1 (High),60618
Risk 1 (High),60630
Risk 1 (High),60625
Risk 1 (High),60625
Risk 3 (Low),60618
Risk 1 (High),60613
Risk 1 (High),60640
,60640
Risk 1 (High),60629
Risk 3 (Low),60608
Risk 1 (High),60659
Risk 1 (High),60628
Risk 1 (High),60657
Risk 1 (High),60626
Risk 1 (High),60607
Risk 1 (High),60613
Risk 1 (High),60622
Risk 1 (High),60639
Risk 3 (Low),60605
Risk 1 (High),60640
Risk 1 (High),60605
Risk 1 (High),60610
Risk 1 (High),60623
Risk 1 (High),60661
Risk 1 (High),60651
Risk 3 (Low),60610
Risk 3 (Low),60015
Risk 2 (Medium),60659
Risk 1 (High),60657
Risk 1 (High),60640
Risk 1 (High),60640
Risk 1 (High),60631
Risk 2 (Medium),60638
Risk 2 (Medium),60659
Risk 1 (High),60640
Risk 1 (High),60657
Risk 1 (High),60657
Risk 1 (High),60657
Risk 2 (Medium),60616
Risk 2 (Medium),60646
Risk 2 (Medium),60611
Risk 1 (High),60634
Risk 2 (Medium),60653
Risk 1 (High),60626
Risk 1 (High),60631
Risk 1 (High),60631
Risk 1 (High),60647
Risk 2 (Medium),60612
Risk 2 (Medium),60640
Risk 2 (Medium),60659
Risk 2 (Medium),60644
Risk 1 (High),60601
Risk 1 (High),60612
Risk 1 (High),60629
Risk 1 (High),60608
Risk 1 (High),60654
Risk 1 (High),60654
Risk 1 (High),60623
Risk 1 (High),60647
Risk 1 (High),60659
Risk 1 (High),60640
Risk 1 (High),60630
Risk 1 (High),60639
Risk 1 (High),60630
Risk 2 (Medium),60622
Risk 2 (Medium),60622
Risk 2 (Medium),60616
Risk 1 (High),60637
Risk 1 (High),60601
Risk 1 (High),60601
Risk 1 (High),60640
Risk 1 (High),60656
Risk 1 (High),
Risk 2 (Medium),60632
Risk 1 (High),60625
