Risk,Zip
Risk 1 (High),Hermosa
Risk 3 (Low),East Garfield Park
Risk 3 (Low),Bridgeport
Risk 1 (High),Belmont Cragin
Risk 1 (High),60707
Risk 1 (High),Pullman
Risk 1 (High),Austin
Risk 1 (High),Lincoln Park
Risk 2 (Medium),Edgewater
Risk 3 (Low),Austin
Risk 2 (Medium),Near West Side
Risk 1 (High),Chicago Lawn
Risk 2 (Medium),Forest Glen
Risk 1 (High),Austin
Risk 1 (High),Albany Park
Risk 2 (Medium),Chicago Lawn
Risk 1 (High),Belmont Cragin
Risk 1 (High),Edgewater
Risk 2 (Medium),Near South Side
Risk 1 (High),Avondale
Risk 1 (High),Rogers Park
Risk 1 (High),Edgewater
Risk 1 (High),Near North Side
Risk 3 (Low),Lakeview
Risk 1 (High),Lakeview
Risk 1 (High),Edgewater
Risk 2 (Medium),Near North Side
Risk 3 (Low),Forest Glen
Risk 2 (Medium),Near North Side
Risk 1 (High),Loop
Risk 3 (Low),Loop
Risk 2 (Medium),Humboldt Park
Risk 2 (Medium),Edgewater
Risk 1 (High),Belmont Cragin
Risk 1 (High),Lakeview
Risk 1 (High),Lakeview
Risk 1 (High),Lakeview
Risk 1 (High),Near North Side
Risk 1 (High),Austin
Risk 1 (High),Albany Park
Risk 1 (High),Lakeview
Risk 1 (High),Hermosa
Risk 1 (High),Lakeview
Risk 1 (High),Lakeview
Risk 1 (High),Edgewater
Risk 1 (High),Albany Park
Risk 3 (Low),Austin
Risk 1 (High),Lakeview
Risk 1 (High),Pullman
Risk 1 (High),Pullman
Risk 1 (High),Near North Side
Risk 1 (High),Edison Park
Risk 2 (Medium),North Park
Risk 1 (High),Edgewater
Risk 1 (High),Albany Park
Risk 1 (High),Near South Side
Risk 1 (High),Albany Park
Risk 2 (Medium),Near West Side
Risk 1 (High),Chicago Lawn
Risk 1 (High),Avondale
Risk 1 (High),Lakeview
Risk 1 (High),Avondale
Risk 1 (High),Albany Park
Risk 1 (High),Albany Park
Risk 1 (High),Albany Park
Risk 3 (Low),Avondale
Risk 1 (High),Lakeview
Risk 1 (High),Edgewater
,Edgewater
Risk 1 (High),Chicago Lawn
Risk 3 (Low),Bridgeport
Risk 1 (High),North Park
Risk 1 (High),Pullman
Risk 1 (High),Lakeview
Risk 1 (High),Rogers Park
Risk 1 (High),Near South Side
Risk 1 (High),Lakeview
Risk 1 (High),Humboldt Park
Risk 1 (High),Austin
Risk 3 (Low),Near South Side
Risk 1 (High),Edgewater
Risk 1 (High),Near South Side
Risk 1 (High),Near North Side
Risk 1 (High),North Lawndale
Risk 1 (High),Loop
Risk 1 (High),Austin
Risk 3 (Low),Near North Side
Risk 3 (Low),60015
Risk 2 (Medium),North Park
Risk 1 (High),Lakeview
Risk 1 (High),Edgewater
Risk 1 (High),Edgewater
Risk 1 (High),Edison Park
Risk 2 (Medium),Clearing
Risk 2 (Medium),North Park
Risk 1 (High),Edgewater
Risk 1 (High),Lakeview
Risk 1 (High),Lakeview
Risk 1 (High),Lakeview
Risk 2 (Medium),Armour Square
Risk 2 (Medium),Forest Glen
Risk 2 (Medium),Near North Side
Risk 1 (High),Belmont Cragin
Risk 2 (Medium),Douglas
Risk 1 (High),Rogers Park
Risk 1 (High),Edison Park
Risk 1 (High),Edison Park
Risk 1 (High),Hermosa
Risk 2 (Medium),Near West Side
Risk 2 (Medium),Edgewater
Risk 2 (Medium),North Park
Risk 2 (Medium),Austin
Risk 1 (High),Loop
Risk 1 (High),Near West Side
Risk 1 (High),Chicago Lawn
Risk 1 (High),Bridgeport
